year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.253521,pontiac,'m-gto convertible',0.4,'8 cylinders',gas,0.008854,1,automatic,0.667,mid-size,convertible,green,42000
0.253521,dodge,'m-coronet r-t',,'8cylinders',gas,0.00021,1,automatic,0.667,mid-size,coupe,orange,55000
0.253521,chevrolet,m-camar,,'8cylinders',gas,0.00025,1,automatic,0.667,mid-size,coupe,grey,67500
0.253521,chevrolet,m-corvette,0.6,'8 cylinders',gas,0.001048,1,manual,1,full-size,coupe,blue,125000
0.267606,chevrolet,'m-c-10 pickup',0.2,'8 cylinders',gas,0.0262,1,manual,0.667,full-size,pickup,grey,1650
0.267606,ford,m-f250,0.2,'8 cylinders',gas,0.007165,1,automatic,0.333,full-size,truck,white,2450
0.267606,volkswagen,'m-dune buggy',0.2,'4 cylinders',gas,0.0024,1,manual,0.667,sub-compact,convertible,yellow,3450
0.267606,toyota,m-corona,0.4,'4 cylinders',gas,0.1,1,automatic,0.667,compact,coupe,blue,3500
0.267606,buick,'m-electra 225',0.6,'8 cylinders',gas,0.01,1,automatic,0.667,full-size,convertible,custom,6000
0.267606,dodge,m-d200,0.6,'6 cylinders',gas,0.0021,1,manual,0.667,full-size,truck,green,6500
0.267606,ford,'m-gran torino',0.4,'8 cylinders',gas,0.01,1,automatic,0.667,full-size,convertible,blue,7500
0.267606,lincoln,'m-continental mk iii',0.4,'8 cylinders',gas,0.0025,0.8,automatic,0.667,full-size,coupe,black,7900
0.267606,ford,'m-f250 camper special',0.2,'8 cylinders',gas,0.0075,1,automatic,0.667,full-size,truck,red,8000
0.267606,toyota,'m-land cruiser',0.4,'6 cylinders',gas,0.0032,1,manual,1,full-size,offroad,white,8500
0.267606,chevrolet,m-corvette,0.2,'8 cylinders',gas,0.0052,1,manual,0.667,mid-size,coupe,custom,10000
0.267606,ford,'m-0.2lane 500',0.6,'8 cylinders',gas,0.00635,1,automatic,0.667,mid-size,coupe,white,12000
0.267606,ford,'m-galaxie 500 xl',0.4,'8 cylinders',gas,0.005994,1,automatic,0.667,full-size,other,white,12500
0.267606,volkswagen,m-beetle,0.6,'4 cylinders',gas,0.0003,1,manual,0.667,compact,coupe,white,13000
0.267606,ford,'m-f250 ranger',0.6,'8 cylinders',gas,0.016,1,automatic,0.667,full-size,truck,custom,13000
0.267606,jeep,m-cj5,0.6,'6 cylinders',gas,0.01,1,manual,1,full-size,other,orange,14500
0.267606,pontiac,m-gto,0.2,'8 cylinders',gas,0.1,1,manual,0.667,mid-size,coupe,blue,15000
0.267606,buick,'m-electra 225',0.4,'8 cylinders',gas,0.012,1,automatic,0.667,full-size,convertible,red,15000
0.267606,chevrolet,'m-chevelle concours',0.4,'8 cylinders',gas,0.01025,1,automatic,0.667,mid-size,wagon,green,15000
0.267606,chevrolet,m-corvette,0.4,'8 cylinders',gas,0.006786,1,automatic,0.667,full-size,coupe,red,21000
0.267606,mercury,m-cougar,0.6,'8 cylinders',gas,0.00077,1,automatic,0.667,mid-size,coupe,blue,24000
